"case_name","location","occurance_date","fatalities","injured","total_victims","location_type","age_of_shooter","prior_signs_mental_health_issues","weapons_obtained_legally","race","gender","latitude","longitude","type","state","year"
"Harry Pratt Co. warehouse shooting","Aurora, Illinois","2019-02-15",5,6,11,"Workplace",45,"yes","no","Black","Male",41.753725,-88.331057,"Mass"," Illinois",2019
"Rancho Tehama shooting spree","Rancho Tehama, California","2017-11-14",5,10,15,"Other",44,"tbd","no","White","Male",40.018759,-122.393089,"Spree"," California",2017
"SunTrust bank shooting","Sebring, Florida","2019-01-23",5,0,5,"Workplace",21,"yes","yes","White","Male",27.471043,-81.45847,"Mass"," Florida",2019
"Thousand Oaks nightclub shooting","Thousand Oaks, California","2018-11-07",12,22,34,"Other",28,"yes","yes",NULL,"Male",34.176946,-118.874793,"Mass"," California",2018
"Fifth Third Center shooting","Cincinnati, Ohio","2018-09-06",3,2,5,"Workplace",29,"yes","yes","Latino","Male",39.101981,-84.511782,"Mass"," Ohio",2018
"Alturas tribal shooting","Alturas, California","2014-02-20",4,2,6,"Other",44,"tbd","tbd","Native American","Both",41.487104,-120.542237,"Spree"," California",2014
"Su Jung Health Sauna shooting","Norcross, Georgia","2012-02-21",5,0,5,"Other",59,"yes","yes","Asian","Both",33.9412127,-84.2135309,"Mass"," Georgia",2012
"Waffle House shooting","Nashville, Tennessee","2018-04-22",4,4,8,"Other",29,"yes","yes","White","Male",36.052521,-86.616944,"Mass"," Tennessee",2018
"Yountville veterans home shooting","Yountville, California","2018-03-09",3,0,3,"Workplace",36,"yes","yes","Asian","Male",38.392496,-122.366528,"Mass"," California",2018
"Pennsylvania carwash shooting","Melcroft, Pennsylvania","2018-01-28",4,1,5,"Other",28,"tbd","tbd","White","Male",40.052151,-79.389166,"Mass"," Pennsylvania",2018
"Santa Fe High School shooting","Santa Fe, Texas","2018-05-18",10,13,23,"School",17,"tbd","tbd","White","Male",29.392825,-95.141972,"Mass"," Texas",2018
"Marjory Stoneman Douglas High School shooting","Parkland, Florida","2018-02-14",17,17,34,"School",19,"yes","yes","White","Male",26.30483,-80.269511,"Mass"," Florida",2018
"Capital Gazette shooting","Annapolis, Maryland","2018-06-28",5,2,7,"Workplace",38,"tbd","yes","White","Male",38.994548,-76.543657,"Mass"," Maryland",2018
"Mohawk Valley shootings","Herkimer County, New York","2013-03-13",5,2,7,"Other",64,"no","yes","White","Both",43.045601,-74.984891,"Mass"," New York",2013
"Hialeah apartment shooting","Hialeah, Florida","2013-07-26",7,0,7,"Other",42,"tbd","yes","Latino","Both",25.864338,-80.311775,"Mass"," Florida",2013
"Seattle cafe shooting","Seattle, Washington","2012-05-20",6,1,7,"Other",40,"yes","yes","White","Both",47.6038321,-122.3300624,"Mass"," Washington",2012
"Oikos University killings","Oakland, California","2012-04-02",7,3,10,"School",43,"yes","yes","Asian","Both",37.8043808,-122.2708166,"Mass"," California",2012
"Fort Hood shooting 2","Fort Hood, Texas","2014-04-03",3,12,15,"Military",34,"tbd","yes","Latino","Male",31.141716,-97.777559,"Mass"," Texas",2014
"Las Vegas Strip massacre","Las Vegas, Nevada","2017-10-01",58,546,604,"Other",64,"tbd","yes","White","Male",36.095739,-115.171544,"Mass"," Nevada",2017
"Binghamton shootings","Binghamton, New York","2009-04-03",14,4,18,"Other",41,"yes","yes","Asian","Both",42.099802,-75.917723,"Mass"," New York",2009
"Texas First Baptist Church massacre","Sutherland Springs, Texas","2017-11-05",26,20,46,"Religious",26,"yes","kelley passed federal criminal background checks; the us air force failed to provide information on his criminal history to the fbi","White","Male",29.273282,-98.056488,"Mass"," Texas",2017
"San Francisco UPS shooting","San Francisco, California","2017-06-14",3,2,5,"Workplace",38,"yes","no","Asian","Male",37.765947,-122.406087,"Mass"," California",2017
"Fresno downtown shooting","Fresno, California","2017-04-18",3,0,3,"Other",39,"tbd","tbd","Black","Male",36.746378,-119.800319,"Mass"," California",2017
"Wakefield massacre","Wakefield, Massachusetts","2000-12-26",7,0,7,"Workplace",42,"yes","yes","White","Both",42.500429,-71.075913,"Mass"," Massachusetts",2000
"Fort Lauderdale airport shooting","Fort Lauderdale, Florida","2017-01-06",5,6,11,"Airport",26,"yes","yes","Latino","Male",26.072751,-80.143382,"Mass"," Florida",2017
"Carthage nursing home shooting","Carthage, North Carolina","2009-03-29",8,3,11,"Other",45,"yes","yes","White","Both",35.333434,-79.414592,"Mass"," North Carolina",2009
"Amish school shooting","Lancaster County, Pennsylvania","2006-10-02",6,5,11,"School",32,"no","yes","White","Both",39.9589,-76.0806,"Mass"," Pennsylvania",2006
"Rural Ohio nursing home shooting","Kirkersville, Ohio","2017-05-12",3,0,3,"Workplace",43,"yes","tbd","White","Male",39.959034,-82.596508,"Mass"," Ohio",2017
"Cascade Mall shooting","Burlington, Washington","2016-09-23",5,0,5,"Other",20,"yes","tbd",NULL,"Male",48.461367,-122.337918,"Mass"," Washington",2016
"Pennsylvania supermarket shooting","Tunkhannock, Pennsylvania","2017-06-07",3,0,3,"Workplace",24,"tbd","tbd","White","Male",41.529546,-75.94722,"Mass"," Pennsylvania",2017
"Florida awning manufacturer shooting","Orlando, Florida","2017-06-05",5,0,5,"Workplace",45,"tbd","tbd",NULL,"Male",28.580295,-81.294086,"Mass"," Florida",2017
"Capitol Hill massacre","Seattle, Washington","2006-03-25",7,2,9,"Other",28,"no","yes","White","Both",47.6229,-122.3165,"Mass"," Washington",2006
"Goleta postal shootings","Goleta, California","2006-01-30",8,0,8,"Workplace",44,"yes","yes","White","Both",34.425571,-119.866069,"Mass"," California",2006
"Living Church of God shooting","Brookfield, Wisconsin","2005-03-12",7,4,11,"Religious",44,"yes","yes","White","Both",43.0605671,-88.1064787,"Spree"," Wisconsin",2005
"Damageplan show shooting","Columbus, Ohio","2004-12-08",5,7,12,"Other",25,"yes","yes","White","Both",39.9622601,-83.0007065,"Mass"," Ohio",2004
"Lockheed Martin shooting","Meridian, Mississippi","2003-07-08",7,8,15,"Workplace",48,"yes","yes","White","Both",32.410842,-88.634539,"Mass"," Mississippi",2003
"Hotel shooting","Tampa, Florida","1999-12-30",5,3,8,"Workplace",36,"yes","yes","Latino","Both",27.966479,-82.570586,"Spree"," Florida",1999
"Red Lake massacre","Red Lake, Minnesota","2005-03-21",10,5,15,"School",16,"yes","no","Native American","Both",47.876346,-95.0169401,"Mass"," Minnesota",2005
"Baton Rouge police shooting","Baton Rouge, Lousiana","2016-07-17",3,3,6,"Other",29,"yes","tbd","Black","Male",30.433601,-91.081403,"Spree"," Lousiana",2016
"Isla Vista mass murder","Santa Barbara, California","2014-05-23",6,13,19,"School",22,"yes","yes","White","Male",34.436283,-119.8714406,"Mass"," California",2014
"Walter Rossler Company massacre","Corpus Christi, Texas","1995-04-03",6,0,6,"Workplace",28,"no","yes",NULL,"Both",27.828025,-97.548198,"Mass"," Texas",1995
"Planned Parenthood clinic","Colorado Springs, Colorado","2015-11-27",3,9,12,"Workplace",57,"tbd","tbd","White","Male",38.881031,-104.849057,"Mass"," Colorado",2015
"Atlantis Plastics shooting","Henderson, Kentucky","2008-06-25",6,1,7,"Workplace",25,"no","yes","White","Both",37.76721,-87.5573742,"Spree"," Kentucky",2008
"R.E. Phelon Company shooting","Aiken, South Carolina","1997-09-15",4,3,7,"Workplace",43,"no","no","Black","Both",33.5598586,-81.721952,"Mass"," South Carolina",1997
"Xerox killings","Honolulu, Hawaii","1999-11-02",7,0,7,"Workplace",40,"yes","yes","Asian","Both",21.320063,-157.876462,"Spree"," Hawaii",1999
